parameter,parameter_label,parameter_key,parameter_value,manuscript_environment,internal_environment,requested_epochs,episode_count,valid_count,seed_min,seed_max,path_length_mean,path_length_std,path_length_min,path_length_max,path_length_median,maximum_curvature_mean,maximum_curvature_std,maximum_curvature_min,maximum_curvature_max,maximum_curvature_median,minimum_clearance_mean,minimum_clearance_std,minimum_clearance_min,minimum_clearance_max,minimum_clearance_median,smoothness_mean,smoothness_std,smoothness_min,smoothness_max,smoothness_median,wheel_effort_mean,wheel_effort_std,wheel_effort_min,wheel_effort_max,wheel_effort_median,centering_mean,centering_std,centering_min,centering_max,centering_median,computation_time_seconds_mean,computation_time_seconds_std,computation_time_seconds_min,computation_time_seconds_max,computation_time_seconds_median,collision_count_sum,collision_count_mean,collision_rate
tau,Softmin Temperature,softmin_temperature,0.05,Level-1,Easy,30,30,30,20860704,20860733,18.35394205638124,0.1951350854453241,18.00757809308056,18.94242676197922,18.324764137433597,145.02603700159955,205.6871628927017,7.243122090107131,842.5576178086646,60.4667890301411,0.30932114912234854,0.051514658486329586,0.223606797749979,0.41231056256176607,0.30000000000000004,192.45771238354263,14.304928090292082,166.90105448083642,231.22075054951534,188.26282097707528,49.666671488977144,19.296820931455677,26.987673821703336,103.91886345966493,43.252774231466866,1002.6577060702963,46.371538498754234,894.8385312423221,1128.060416984487,1007.7006653735262,172.58637265364328,5.17662562714149,163.37341165542603,182.87020802497864,172.27991902828217,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.1,Level-1,Easy,30,30,30,20860704,20860733,18.34931899522902,0.18293839286630442,18.050573859323574,18.708433643620545,18.303427605684355,158.16455662882979,227.86678700555237,11.524646564136459,953.4342268429932,67.98914645557431,0.3128914403534898,0.05258909792138707,0.223606797749979,0.4,0.308113883008419,193.0697002051085,12.740786479714966,172.55135383302644,231.87922790567768,192.25925024133176,40.70614488893935,8.943893333544558,26.554433829027815,59.75823119646141,39.39148539338249,1011.0243370000776,45.42701507498556,926.589360894472,1120.291388078396,1008.8429053998807,157.82181617418925,23.059326124929477,124.53476881980896,193.57830619812012,160.7405743598938,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.2,Level-1,Easy,30,30,30,20860704,20860733,18.359444659600676,0.19448431108177472,18.116676147402103,18.867582398624048,18.28594096715297,140.67909032648657,276.7533525224444,11.506413350122553,1408.1828474019553,47.117848904782775,0.30496690807620214,0.051593135639423054,0.223606797749979,0.4,0.316227766016838,192.07443982331563,10.899671924217445,170.3414436177777,219.65008829616963,191.7036948209176,39.56377935494868,21.665525927121095,26.667799373243035,150.3248664639047,35.578695495467194,1017.7436174009813,49.12362620399848,934.2380204618597,1146.9506638779192,1011.5173617040107,107.96913676261902,6.846112301695477,100.66743087768555,120.30158138275146,104.5222955942154,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.3,Level-1,Easy,30,30,30,20860704,20860733,18.327965231414247,0.19631229349783721,17.961044751415404,18.769238751114468,18.275299546620936,113.03898004419804,197.71906186771932,9.174147957299725,976.5931510723345,49.30899796245595,0.30335712118495894,0.054538582914979934,0.223606797749979,0.4,0.308113883008419,191.5663374498984,12.600129329375921,163.90492695472855,221.00088540469932,190.27153348623384,36.69652382463325,13.872862310769854,24.779963923054552,98.23633436444318,32.92884825949966,1027.9406064835814,50.08572901853816,939.6654915108633,1159.4274619149203,1027.8224080707462,112.97044278780619,2.035581208143141,109.2649085521698,117.4668755531311,112.85618853569031,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.5,Level-1,Easy,30,30,30,20860704,20860733,18.292467301623553,0.17119982904626455,17.955055465874576,18.721247957807886,18.266600476265864,112.97192544238985,126.22471961024809,7.177239059045499,479.67140183238473,51.744998066048666,0.2971564105462872,0.05194292705697635,0.223606797749979,0.4,0.30000000000000004,193.34395312955107,11.127139771386815,161.11561432227768,211.06850278661113,195.56940604544855,34.26154284041332,6.008397339919773,23.425871985907502,52.679503050748046,33.830000027789154,1040.8727427485107,48.09667664151753,940.6854359005085,1166.742745594491,1038.1145791022145,114.04453684488932,1.8589601499063326,110.93869161605835,117.4553906917572,113.80939531326294,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.8,Level-1,Easy,30,30,30,20860704,20860733,18.298779437048115,0.18728170516737352,17.962536603720036,18.743695464919487,18.288259309852656,82.63061169508369,76.75227017952169,7.194740975304917,270.5768587623967,47.59719822068348,0.29417026906069843,0.049637211855182634,0.223606797749979,0.4,0.30000000000000004,196.6830778368503,8.90961817364562,174.89447887374604,213.68342116404085,198.10243762219477,34.37200446319606,4.410241907641546,27.056842927371648,47.17853935922142,34.192211129154806,1051.02041432374,47.65255538597654,946.6805582653077,1165.2618477825156,1043.7031265659846,115.22193771998087,1.5129153346787556,112.31929564476013,117.84565591812134,115.15492498874664,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,1.0,Level-1,Easy,30,30,30,20860704,20860733,18.309100691979303,0.18363899056117058,18.000456308947832,18.750478830600883,18.28852079075167,68.54139528638781,67.4517293298815,6.939510663467338,320.3724709019708,45.95638181196931,0.2909769615905083,0.04829500826747886,0.223606797749979,0.4,0.28284271247461906,195.61320845905675,10.537491855132535,170.01580918958405,213.73857261410404,197.57811525431276,33.922446047039124,4.623117613245629,24.37805579481024,46.96196407708699,33.219103275441284,1054.2984167527563,49.15370869726803,949.4435991146597,1149.512624940003,1044.556224632817,115.8036882241567,1.4414995639033374,113.09149098396301,119.24364638328552,115.65465033054352,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.05,Level-2,Moderate-I,30,30,30,20870704,20870733,22.566439910889187,0.5367728701496817,21.80591051672307,24.052104181129934,22.467496208649038,51.062057611728775,75.58607027101269,7.247342693412655,388.2380253047616,24.11713524376741,0.27328316786640855,0.025488104955718942,0.223606797749979,0.30000000000000004,0.28284271247461906,197.94053613930126,26.667870386643443,147.0438215405525,264.62192079943566,200.71060000453326,41.88022025284402,18.98562166979214,23.95285195822757,125.51698533666703,38.191360947819334,1425.0362174219229,41.2472172245906,1322.050243200318,1488.7189853492732,1432.6302416195672,133.79271957874298,2.598165788008394,129.99720788002014,139.93303775787354,133.01159620285034,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.1,Level-2,Moderate-I,30,30,30,20870704,20870733,22.574296725161446,0.5357085015476805,21.766352037210716,23.972615809741434,22.491249280675202,109.53747047160142,280.9694514937469,6.596546393854535,1153.3129305876612,24.041729084974577,0.27640151752558856,0.024539786257255274,0.223606797749979,0.30000000000000004,0.28284271247461906,202.35971491086514,27.587878704123085,149.54996439804046,261.79644735781847,204.08827354822893,43.07955281151717,17.67036686477171,26.174471359538256,97.2584042965885,37.1892845131114,1426.9483953085612,41.52273989144006,1329.7110287400567,1502.4311897667749,1434.2919227154266,133.84394969940186,1.758873067828448,130.93348360061646,137.60352277755737,133.6226875782013,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.2,Level-2,Moderate-I,30,30,30,20870704,20870733,22.431648828749623,0.5608122329076412,21.49511555516623,23.723759210558974,22.285922252894196,39.147646759496745,37.00121081838133,8.573859464970308,176.58901005249257,25.450504718970105,0.27385507745058785,0.025885579406287322,0.223606797749979,0.30000000000000004,0.28284271247461906,201.34242778387568,30.28300606308122,152.4461839607208,259.6635357237594,202.0271511367052,45.94871351528236,18.491596662683687,26.895841825923295,102.94932707840907,40.064779137395334,1438.3950923699556,43.05928076261321,1352.1324663192918,1519.300941098671,1446.9370042838034,133.97574013868967,1.8767660874046306,130.3719551563263,138.05109071731567,133.98584532737732,0,0.0,0.0
