manuscript_environment,internal_environment,source_environment,method,generated_outputs,episode_count,run_count,segments_per_episode,segment_sample_count,mean_segment_time_seconds,std_segment_time_seconds,min_segment_time_seconds,max_segment_time_seconds,median_segment_time_seconds,sum_segment_time_seconds,seed_min,seed_max,timing_scope
Level-1,Easy,Easy,NSGA-II multi-output,NSGA-II Length; NSGA-II Smooth; NSGA-II Effort; NSGA-II Centered; NSGA-II Safe; NSGA-II Adaptive,100,100,4,400,17.826573863749967,1.4529075024683533,15.445283600000039,27.918067900000096,17.685188399999788,7130.629545499987,20260704,20270604,single_segment_planning_call
Level-2,Moderate-I,Moderate-I,NSGA-II multi-output,NSGA-II Length; NSGA-II Smooth; NSGA-II Effort; NSGA-II Centered; NSGA-II Safe; NSGA-II Adaptive,100,100,5,500,17.073599404399996,1.546309998152762,13.83455959999992,20.722910899999988,17.128235250000216,8536.799702199998,20270704,20280604,single_segment_planning_call
Level-3,Moderate-III,Moderate-III,NSGA-II multi-output,NSGA-II Length; NSGA-II Smooth; NSGA-II Effort; NSGA-II Centered; NSGA-II Safe; NSGA-II Adaptive,100,100,4,400,15.221432096499758,0.629644133784657,14.051170099999581,16.939648599996872,15.133876799998689,6088.572838599903,20290704,20300604,single_segment_planning_call
Level-4,Moderate-II,Moderate-II,NSGA-II multi-output,NSGA-II Length; NSGA-II Smooth; NSGA-II Effort; NSGA-II Centered; NSGA-II Safe; NSGA-II Adaptive,100,100,4,400,16.799171586249987,0.2673432523577988,15.896713500002079,18.421133499999996,16.80477020000035,6719.668634499994,20280704,20290604,single_segment_planning_call
Level-5,Hard,Hard,NSGA-II multi-output,NSGA-II Length; NSGA-II Smooth; NSGA-II Effort; NSGA-II Centered; NSGA-II Safe; NSGA-II Adaptive,100,100,8,800,15.501993086500114,0.9370455848165841,13.727062800004205,21.566195299994433,15.44635135000135,12401.594469200092,20300704,20310604,single_segment_planning_call
