manuscript_environment,internal_environment,source_environment,method,generated_outputs,episode_count,run_count,segments_per_episode,route_runtime_mean_seconds,route_runtime_std_seconds,route_runtime_min_seconds,route_runtime_max_seconds,route_runtime_median_seconds,summed_segment_runtime_mean_seconds,summed_segment_runtime_std_seconds,summed_segment_runtime_min_seconds,summed_segment_runtime_max_seconds,summed_segment_runtime_median_seconds,mean_segment_runtime_mean_seconds,mean_segment_runtime_std_seconds,mean_segment_runtime_min_seconds,mean_segment_runtime_max_seconds,mean_segment_runtime_median_seconds,maximum_segment_runtime_mean_seconds,maximum_segment_runtime_std_seconds,maximum_segment_runtime_min_seconds,maximum_segment_runtime_max_seconds,maximum_segment_runtime_median_seconds,route_minus_segment_sum_mean_seconds,route_minus_segment_sum_std_seconds,route_minus_segment_sum_min_seconds,route_minus_segment_sum_max_seconds,route_minus_segment_sum_median_seconds,existing_full_route_method,existing_full_route_runtime_mean_seconds,existing_full_route_runtime_std_seconds,existing_full_route_runtime_source,seed_min,seed_max,runtime_scope
Level-1,Easy,Easy,NSGA-II multi-output,NSGA-II Length; NSGA-II Smooth; NSGA-II Effort; NSGA-II Centered; NSGA-II Safe; NSGA-II Adaptive,100,100,4,76.54080859699981,5.808400631550005,68.9075799000002,95.2751827000011,75.78836845000023,71.30629545499987,5.261706407574864,63.99354770000173,89.8175495000014,70.9602190000005,17.826573863749967,1.315426601893716,15.998386925000432,22.45438737500035,17.740054750000127,18.50525598699991,1.7794937595464229,16.312087899999824,27.918067900000096,18.23929054999917,5.234513141999941,1.1485380229125084,4.264299700000265,13.890834199999517,5.006002849999277,NSGA-II Adaptive,130.78982149839402,5.283712209209455,calculation_times_Easy.json,20260704,20270604,full_route_with_segment_breakdown_summary
Level-2,Moderate-I,Moderate-I,NSGA-II multi-output,NSGA-II Length; NSGA-II Smooth; NSGA-II Effort; NSGA-II Centered; NSGA-II Safe; NSGA-II Adaptive,100,100,5,91.53325915600006,7.353079341132205,80.64534170000115,101.55522279999786,95.81489715000134,85.36799702199998,6.855743537879769,75.44214560000182,94.58560780000334,89.48705455000163,17.073599404399996,1.3711487075759536,15.088429120000365,18.91712156000067,17.897410910000325,17.909568190999853,1.5031415278882332,15.631435299997975,20.722910899999988,18.619027199998527,6.165262134000077,0.5400997148413845,5.189580699996441,7.402006700009224,6.271778799997264,NSGA-II Adaptive,145.83614159345626,5.40080033351092,calculation_times_Moderate-I.json,20270704,20280604,full_route_with_segment_breakdown_summary
Level-3,Moderate-III,Moderate-III,NSGA-II multi-output,NSGA-II Length; NSGA-II Smooth; NSGA-II Effort; NSGA-II Centered; NSGA-II Safe; NSGA-II Adaptive,100,100,4,65.45519049199974,0.7762456176184761,64.07655199999863,67.74630210000032,65.47782300000108,60.88572838599903,0.6771208266280379,59.61229319999984,63.14875759999995,60.881233000000066,15.221432096499758,0.16928020665700946,14.90307329999996,15.787189399999988,15.220308250000016,16.094674365999744,0.2994092965520533,15.398642899999686,16.939648599996872,16.085159549998934,4.569462106000719,0.15274152132396945,4.130621600008453,4.876278299998376,4.592119749999256,NSGA-II Adaptive,132.21318749427795,10.076574010852637,calculation_times_Moderate-III.json,20290704,20300604,full_route_with_segment_breakdown_summary
Level-4,Moderate-II,Moderate-II,NSGA-II multi-output,NSGA-II Length; NSGA-II Smooth; NSGA-II Effort; NSGA-II Centered; NSGA-II Safe; NSGA-II Adaptive,100,100,4,72.13513171399944,0.6590445751108641,70.86467020000055,75.01423140000043,72.06719004999832,67.19668634499995,0.6204476469432016,65.90442150000308,69.89549810000608,67.1526532500011,16.799171586249987,0.1551119117358004,16.47610537500077,17.47387452500152,16.788163312500274,17.04994883200041,0.251193112622722,16.597187600000325,18.421133499999996,17.007960650000314,4.938445368999492,0.106536454668409,4.6943519999949785,5.197269300006155,4.94678264999493,NSGA-II Adaptive,134.6816750240326,14.46196624626273,calculation_times_Moderate-II.json,20280704,20290604,full_route_with_segment_breakdown_summary
Level-5,Hard,Hard,NSGA-II multi-output,NSGA-II Length; NSGA-II Smooth; NSGA-II Effort; NSGA-II Centered; NSGA-II Safe; NSGA-II Adaptive,100,100,8,135.00368202599995,5.327691216963551,130.373920799997,171.7104588000002,134.09278474999883,124.01594469200091,4.963915198365244,120.09996759999922,158.14762750000227,123.13156495000294,15.501993086500114,0.6204893997956555,15.012495949999902,19.768453437500284,15.391445618750367,16.529919651000018,0.8429172129949097,15.83271539999987,21.566195299994433,16.333650800002943,10.98773733399903,0.425243890600852,10.273953199997777,13.562831299997924,10.926981249995151,NSGA-II Adaptive,216.78974927425384,20.603491218656952,calculation_times_Hard.json,20300704,20310604,full_route_with_segment_breakdown_summary
